gene	coef	se	pval	I2	I2_pval	fdr
ABCA10	-0.0232178882604972	0.0813462578782413	0.775322016298502	0	0.808414153607363	0.998342592316123
ABCA12	-0.059299239012816	0.102340275393001	0.562297660861092	0	0.628793219543744	0.998342592316123
ABCA13	0.0366549848380543	0.0830540169716488	0.658967525935609	0	0.71847374242675	0.998342592316123
ABCA2	-0.0889069447593827	0.0828984287057007	0.283504286903888	0	0.722668783767445	0.998342592316123
ABCA3	-0.0840892902148408	0.112628333680729	0.455299814479484	0.373090398467516	0.0720495545733794	0.998342592316123
ABCA4	0.0340343826165159	0.0887356518568155	0.701313480546576	0	0.557173458270887	0.998342592316123
ABCA5	-0.0148048897003134	0.0841775981754927	0.860390703195369	0	0.693994790452496	0.998342592316123
ABCA6	0.0393308975698816	0.0842362449678841	0.640562975695909	0.291030502208096	0.13832282188481	0.998342592316123
ABCA7	-0.113604464586215	0.0864962239248662	0.189046935645308	0	0.584439388889442	0.998342592316123
ABCA8	0.131832498408123	0.0843332733661473	0.117997961189487	0	0.676069845297343	0.998342592316123
ABCA9	-0.0213536621054618	0.0847652578854827	0.801106562972529	0	0.485527138567946	0.998342592316123
ABCB1	-0.0529645206216675	0.084003794518093	0.528366504782933	0.14561239324273	0.290374006619563	0.998342592316123
ABCB10	-0.104568636292739	0.0865166517094532	0.226796071466405	0	0.485581710296608	0.998342592316123
ABCB4	0.143824340199037	0.0850001493415071	0.0906368051129629	0	0.657675842532531	0.998342592316123
ABCB6	0.0378865095016872	0.0832405520200748	0.649005025536647	0	0.629719521365435	0.998342592316123
ABCB7	-0.0221919922424529	0.0862294122412653	0.7969009616525	0	0.46505986165485	0.998342592316123
ABCB8	0.00394807263129696	0.0813882280063916	0.961310483440634	0	0.976124634031793	0.999882152897227
ABCB9	-0.0400461411161467	0.083316031502632	0.630762793726071	0	0.947719315004629	0.998342592316123
ABCC1	0.00839214435605993	0.085905345759048	0.922177983796479	0	0.654166306111217	0.999882152897227
ABCC10	0.0544669357781766	0.0805820673409222	0.49909218881265	0	0.986499423069136	0.998342592316123
ABCC2	-0.0603254770743657	0.0807846937823971	0.455218166606474	0	0.456976433985907	0.998342592316123
ABCC3	-0.0874512201532859	0.083361422132396	0.294150026083627	0	0.6437576184915	0.998342592316123
ABCC4	0.049096838717266	0.0833176168273622	0.555678019592547	0	0.750528583309434	0.998342592316123
ABCC5	0.011072060235649	0.0833747837933306	0.894352607782297	0.0890552380417302	0.353426943948484	0.998342592316123
ABCC6	-0.0361693694260541	0.084343554208231	0.668044157167487	0.214440428235504	0.215023006431529	0.998342592316123
ABCC9	0.071438149462697	0.0829843266210184	0.389313415038884	0	0.577463768368759	0.998342592316123
ABCD2	-0.233019170874021	0.0845179330828753	0.00583275353830194	0	0.607691454008231	0.829592038330043
ABCD3	-0.0517447835332159	0.082401792181139	0.530032098719802	0.154647899123958	0.280319074266434	0.998342592316123
ABCD4	0.0304546513719966	0.0839469656279786	0.716765929972735	0	0.469459448578486	0.998342592316123
ABCE1	0.0394585993203087	0.0809575537945443	0.625975877247864	0	0.802131957019249	0.998342592316123
ABCF1	-0.134327125028714	0.0828170615990575	0.104808904020344	0	0.888901444229296	0.998342592316123
ABCF2	0.0623590013531624	0.0839939555935493	0.457831399671466	0	0.765909112119955	0.998342592316123
ABCF3	-0.0470928554694676	0.0831426107468595	0.571114695277135	0	0.862228383804119	0.998342592316123
ABCG1	-0.0713192766305207	0.0816118364722144	0.382181438741499	0	0.751821806592704	0.998342592316123
ABCG2	0.00508590051704245	0.0797549519878954	0.949154092692913	0.0308711473754864	0.417042140851397	0.999882152897227
ABHD1	-0.0270107129853352	0.0798876020414275	0.735281088636799	0	0.942315380602965	0.998342592316123
ABHD10	-0.103017840488631	0.090662164746574	0.255838309606881	0.152486266275938	0.282722214477236	0.998342592316123
ABHD12	-0.106174700170358	0.0836702522402795	0.20445321264894	0.211692188150228	0.217952063726187	0.998342592316123
ABHD12B	0.0900977874056687	0.123413703363568	0.465361537807293	0.023801451052678	0.422477410922199	0.998342592316123
ABHD13	-0.0346032732485556	0.0820271337406981	0.673133378388268	0.0622950837956807	0.382951699361278	0.998342592316123
ABHD14A	0.0523589527564505	0.0815763390889809	0.520977112598615	0.0750218769026452	0.368955715372674	0.998342592316123
ABHD14B	0.0845300529374078	0.0823523257407464	0.304682333971952	0	0.543061196213695	0.998342592316123
ABHD15	-0.128833362652546	0.0850557977356343	0.129850343061397	0.0565949262010939	0.389188519731965	0.998342592316123
ABHD17A	-0.0286184987847802	0.083547438912682	0.731943114436043	0	0.503372459355321	0.998342592316123
ABHD17B	0.0897154722534547	0.0822720910923664	0.275504956869348	0	0.744973189614767	0.998342592316123
ABHD17C	0.0721567031715236	0.0900414090035427	0.42291606820953	0.204687689484027	0.225457361162639	0.998342592316123
ABHD2	-0.171062306026127	0.0805608608648716	0.0337209977445047	0	0.83594900787512	0.952694803948474
