CRMA;LRRC15_CAF;Myeloid_DC;NonResponse_Ivy;TGFB_Mariathasan;ADO;APM_Thompson;APM_Wang;B_cell_Budczies;B_cell_Helmink;Blood_Response;CD8_Jiang;CD8_SF;CYT;IFNG;ImmuneCells;Inflammatory;IRG_Ayers;KDM5A;M1;Macrophage;PDL1;peri_Tcell;Response_Ivy;STAT1;T_cell_inflamed;TIS;TLS;C_ECM;EMT_Thompson;PTEN_loss;T_cell_exclusion;IRG_Yang;IMPRES;MPS
;;;FAM72D;;;;;;AREG;;;PDE4B;;;FOXI1;;;;;;;;VASH1;IFIT3;;;;COL11A 1;;FBXW5;RPL36;;;WNT5A
;;;KIF11;;;;;;USP36;;;NR4A1;;;GBP1P1;;;;;;;;TNFSF14;CCL4;;;;MMP1;;TAPBP;RPL37;;;ALX1
;;;BRIX1;;;;;;RANBP2;;;;;;GDF1;;;;;;;;FYN;CXCR6;;;;COL1A1;;RAB32;RPL37A;;;BRD7
;;;POLE2;;;;;;LOH12CR1;;;;;;GIMAP4;;;;;;;;FCRL3;GIMAP5;;;;LOXL2;;INPP4B;RPL39;;;DTD1
;;;BIRC5;;;;;;CHD1;;;;;;GPR31;;;;;;;;TNFRSF13B;XAF1;;;;MMP9;;SWAP70;RPL6;;;GRSF1
;;;PDCD5;;;;;;FAM46C;;;;;;GRIA1;;;;;;;;LST1;SLAMF7;;;;ADAM1 2;;MICAL1;RPL7;;;HCN1
;;;C6orf129;;;;;;DNAJA1;;;;;;GRM7;;;;;;;;TNFRSF4;ANKRD22;;;;ACAN;;PHF15;RPLP2;;;LTA4H
;;;ATAD2;;;;;;SLC2A3;;;;;;ITGA3;;;;;;;;POU2F2;;;;;SPP1;;BIRC7;RPS11;;;OXCT1
;;;KIF4A;;;;;;EZR;;;;;;JMJD7;;;;;;;;C2;;;;;FAP;;UBE2L6;RPS13;;;PATJ
;;;CTSL2;;;;;;CALM2;;;;;;KIR2DL4;;;;;;;;PLCL2;;;;;ADAM8;;RARRES3;RPS14;;;PLXNC1
;;;NCAPG;;;;;;RGPD5;;;;;;KIRREL2;;;;;;;;ICAM2;;;;;COL5A2;;LYN;RPS15;;;SSBP4
;;;NUP205;;;;;;VPS37B;;;;;;KLHDC8B;;;;;;;;MSN;;;;;TIMP1;;HCG4;RPS16;;;TELO2
;;;MCM7;;;;;;TGIF1;;;;;;KRT4;;;;;;;;APOE;;;;;MMP12;;GSDMD;RPS17;;;TMEM177
;;;NUDT5;;;;;;CREM;;;;;;LALBA;;;;;;;;RGS19;;;;;ITGAX;;RAC2;RPS17L;;;
;;;KIF2C;;;;;;YPEL5;;;;;;LEF1;;;;;;;;CD79B;;;;;COL5A1;;SLC9A3R1;RPS18;;;
;;;CDC20;;;;;;BANK1;;;;;;LINC00243;;;;;;;;FCER2;;;;;COL7A1;;RUNX3;RPS20;;;
;;;NUSAP1;;;;;;HERPUD1;;;;;;LYSMD2;;;;;;;;CYBB;;;;;COL5A3;;FAM69A;RPS21;;;
;;;SNRPD1;;;;;;JUND;;;;;;MAEL;;;;;;;;HUAT;;;;;TGFBI;;FCRLA;RPS23;;;
;;;PTTG1;;;;;;TSC22D2;;;;;;MAP2K5;;;;;;;;ARHGEF1;;;;;COMP;;ST3GAL6;RPS25;;;
;;;MGC72080;;;;;;ZNF141;;;;;;MATN3;;;;;;;;IL15;;;;;MFAP2;;IRF1;RPS27A;;;
;;;ZNF670;;;;;;WDR45B;;;;;;MFAP2;;;;;;;;CD22;;;;;VCAN;;ECHDC3;RPS28;;;
;;;EXO1;;;;;;TRA2A;;;;;;MKI67;;;;;;;;SAMD3;;;;;COL1A2;;CD38;RPS4X;;;
;;;RFC3;;;;;;CKS2;;;;;;MMP12;;;;;;;;BCL11B;;;;;COL3A1;;SIGIRR;RPS5;;;
;;;NME1;;;;;;CD69;;;;;;MMP9;;;;;;;;CR2;;;;;SULF1;;ROPN1;RPS6;;;
;;;NCAPG2;;;;;;DDX3Y;;;;;;MT1G;;;;;;;;LTA;;;;;POSTN;;FYB;SMARCA4;;;
;;;NEIL3;;;;;;SMCHD1;;;;;;MUSK;;;;;;;;HLA-E;;;;;FN1;;SNX10;SNRPD2;;;
;;;RAD54L;;;;;;WDR74;;;;;;MXRA8;;;;;;;;HLX;;;;;;;HCST;STOML2;;;
;;;NUF2;;;;;;SIGLEC14;;;;;;MYL1;;;;;;;;HLA-DPB1;;;;;;;HERC5;TIMM13;;;
;;;BUB1;;;;;;ALG13;;;;;;MYO1G;;;;;;;;CSF1R;;;;;;;OAS2;TPI1;;;
;;;PRC1;;;;;;ZNF165;;;;;;NACA2;;;;;;;;GMIP;;;;;;;MCOLN2;UBA52;;;
;;;CDCA7;;;;;;TUBA1C;;;;;;NACA3P;;;;;;;;GAS7;;;;;;;APOE;WBSCR22;;;
;;;RACGAP1;;;;;;DNAJB1;;;;;;NUDT10;;;;;;;;EFHD2;;;;;;;IFIH1;APOD;;;
;;;NOP58;;;;;;SDCBP;;;;;;NUPR1;;;;;;;;GNAI2;;;;;;;SAT1;APOE;;;
;;;CDC45;;;;;;RILPL2;;;;;;OTOF;;;;;;;;CD3G;;;;;;;RAB38;ATP1A1;;;
;;;C15orf23;;;;;;;;;;;;PCLAF;;;;;;;;TNFSF13;;;;;;;CD79B;B2M;;;
;;;WDR12;;;;;;;;;;;;PKDCC;;;;;;;;APOBEC3G;;;;;;;SOD2;CAPN3;;;
;;;PRR11;;;;;;;;;;;;PLA2G2D;;;;;;;;TXK;;;;;;;GNPTAB;CD63;;;
;;;PSMG1;;;;;;;;;;;;PPA2;;;;;;;;CD27;;;;;;;PSMB9;CDH1;;;
;;;BLM;;;;;;;;;;;;PPP4R3C;;;;;;;;AIM2;;;;;;;TMEM140;CTSD;;;
;;;KIF18A;;;;;;;;;;;;PRPH;;;;;;;;ADAM7;;;;;;;GZMB;DAAM2;;;
;;;CDC25A;;;;;;;;;;;;PRUNE2;;;;;;;;GZMK;;;;;;;HPS1;GPNMB;;;
;;;UBE2T;;;;;;;;;;;;RASL12;;;;;;;;RFTN1;;;;;;;RPS6KA5;GPR56;;;
;;;GGH;;;;;;;;;;;;RIMS2;;;;;;;;HCLS1;;;;;;;MFSD6;HLA-A;;;
;;;PKMYT1;;;;;;;;;;;;RNASE1;;;;;;;;TOX2;;;;;;;PRKCB1;HLA-B;;;
;;;C11orf82;;;;;;;;;;;;ROR1;;;;;;;;PTPRCAP;;;;;;;QPCT;HLA-C;;;
;;;PSMD14;;;;;;;;;;;;RPL36AP41;;;;;;;;SLC7A6;;;;;;;IFI27;HLA-F;;;
;;;CENPA;;;;;;;;;;;;RRM2;;;;;;;;C1orf228;;;;;;;RGS10;HLA-H;;;
;;;VRK1;;;;;;;;;;;;SCGB2A2;;;;;;;;BTN3A3;;;;;;;GSTO1;HPS5;;;
;;;RPL6;;;;;;;;;;;;SELENOP;;;;;;;;C1QC;;;;;;;CXCL9;HSP90AA1;;;
;;;PRDX4;;;;;;;;;;;;SH2D2A;;;;;;;;RUNX3;;;;;;;NKG7;IFI27;;;
;;;SMC2;;;;;;;;;;;;SHC3;;;;;;;;LOC643733;;;;;;;PLXNC1;IRF4;;;
;;;RPL34;;;;;;;;;;;;SLC16A3;;;;;;;;AI349750;;;;;;;RAB27A;LGALS3;;;
;;;CCNA2;;;;;;;;;;;;SPATA13;;;;;;;;SEL1L3;;;;;;;KAT2B;LGALS3BP;;;
;;;FANCD2;;;;;;;;;;;;SPC24;;;;;;;;RAB37;;;;;;;SLC45A2;MCAM;;;
;;;RPS21;;;;;;;;;;;;SPP1;;;;;;;;CD1C;;;;;;;ADAMDEC1;MTRNR2L1;;;
;;;MRPS17;;;;;;;;;;;;STC1;;;;;;;;LRCH4;;;;;;;HIGD1A;MTRNR2L10;;;
;;;MRPL3;;;;;;;;;;;;STC2;;;;;;;;GBP5;;;;;;;IL18BP;MTRNR2L2;;;
;;;H2AFZ;;;;;;;;;;;;STOML3;;;;;;;;DEF6;;;;;;;GPNMB;MTRNR2L3;;;
;;;UCHL5;;;;;;;;;;;;SYT6;;;;;;;;HCST;;;;;;;PHACTR1;MTRNR2L4;;;
;;;KIF14;;;;;;;;;;;;TDRD15;;;;;;;;CD3D;;;;;;;CD3D;MTRNR2L6;;;
;;;ENY2;;;;;;;;;;;;TEAD2;;;;;;;;AMICA1;;;;;;;FAM65B;MTRNR2L8;;;
;;;hNp95;;;;;;;;;;;;TK1;;;;;;;;FCRL5;;;;;;;GBP5;NSG1;;;
